Time,Retention
57.95,-0.065940001182348
57.951,-0.0659406701629678
57.951999999,-0.065941351277286
57.953,-0.0659421071143216
57.954,-0.0659429275341467
57.954999999,-0.0659436526302774
57.956,-0.0659444000700368
57.957,-0.0659451698964982
57.957999999,-0.0659459286251568
57.959,-0.0659465640793752
57.96,-0.0659473467390436
57.960999999,-0.0659480423842835
57.962,-0.0659487497836404
57.963,-0.0659494135319601
57.963999999,-0.0659501368088003
57.965,-0.0659508907882451
57.966,-0.0659516334550208
57.966999999,-0.0659524061121026
57.968,-0.0659531176231834
57.969,-0.065953754581696
57.969999999,-0.0659544829602255
57.971,-0.0659551726397348
57.972,-0.0659558975560616
57.972999999,-0.0659566638821595
57.974,-0.0659574166964909
57.975,-0.0659581675336766
57.975999999,-0.0659589859460454
57.977,-0.0659597422335424
57.978,-0.0659605075498041
57.978999999,-0.0659612407603476
57.98,-0.0659619039675523
57.981,-0.0659625202321392
57.981999999,-0.0659631799338293
57.983,-0.0659639309452783
57.984,-0.0659647197093614
57.984999999,-0.0659655324828317
57.986,-0.0659662934884027
57.987,-0.0659670467773142
57.987999999,-0.0659677789593574
57.988999999,-0.0659684734238562
57.99,-0.0659692471513777
57.990999999,-0.0659699220016404
57.991999999,-0.0659705620102311
57.993,-0.0659712948383444
57.993999999,-0.0659719827782209
57.994999999,-0.0659727739166431
57.996,-0.0659735377789905
57.997,-0.0659742500651334
57.997999999,-0.0659750839270733
57.999,-0.0659757832482245
58,-0.0659764610355496
58.000999999,-0.0659771877440786
58.002,-0.0659779003386577
58.003,-0.0659786544606439
58.003999999,-0.0659794553532081
58.005,-0.0659801363491517
58.006,-0.0659808720732782
58.006999999,-0.0659815820582244
58.008,-0.0659823606667779
58.009,-0.0659831200594642
58.009999999,-0.0659837960185918
58.011,-0.0659845171196273
58.012,-0.0659852058311665
58.012999999,-0.0659858648905894
58.014,-0.0659866261563549
58.015,-0.0659873301239856
58.015999999,-0.065988078378763
58.017,-0.0659887759833675
58.018,-0.0659895224568613
58.018999999,-0.0659903240097499
58.02,-0.065991073918602
58.021,-0.065991781229559
58.021999999,-0.0659925263380184
58.023,-0.0659933172922798
58.024,-0.0659939703460581
58.024999999,-0.0659946537220777
58.026,-0.0659953806986462
58.027,-0.065996098609312
58.027999999,-0.0659968384689844
58.029,-0.0659976369278963
58.03,-0.0659983390758959
58.030999999,-0.0659990408366085
58.031999999,-0.0659997290639223
58.033,-0.0660005025705005
58.033999999,-0.0660012312770972
58.034999999,-0.0660020035857787
58.036,-0.0660027681285439
58.036999999,-0.0660035633795655
58.037999999,-0.0660042536747117
58.039,-0.0660050382413965
58.039999999,-0.0660057156023015
58.040999999,-0.0660064408736241
58.042,-0.0660072337142922
58.042999999,-0.0660078914345577
58.043999999,-0.0660084111515802
58.045,-0.0660091762577052
58.045999999,-0.0660099690779403
58.046999999,-0.0660107400944814
58.048,-0.0660116357811381
58.048999999,-0.0660124045309138
58.049999999,-0.0660130641465243
58.051,-0.0660137879261449
58.051999999,-0.0660144956563535
58.052999999,-0.0660152164701199
58.054,-0.0660159239307388
58.054999999,-0.0660166740745261
58.055999999,-0.0660172931264029
58.057,-0.0660178843576133
58.058,-0.0660186982851276
58.058999999,-0.0660194114047242
58.06,-0.0660202289925711
58.061,-0.066020878528395
58.061999999,-0.0660214844577373
58.063,-0.0660221720520492
58.064,-0.0660228439319939
58.064999999,-0.0660236418249553
58.066,-0.0660244452967036
58.067,-0.0660252124402707
58.067999999,-0.0660259402338519
58.069,-0.0660266224780312
58.07,-0.0660274783063491
58.070999999,-0.066028193910886
58.072,-0.0660289476046327
58.073,-0.0660296997631764
58.073999999,-0.0660303598929952
58.075,-0.066030931537154
58.076,-0.066031709610401
58.076999999,-0.0660324995079849
58.078,-0.0660333033010981
58.079,-0.0660341472601583
58.079999999,-0.0660348568954737
58.081,-0.0660356079143649
58.082,-0.0660363076447119
58.082999999,-0.0660370290622952
58.084,-0.0660377661460558
58.085,-0.0660385702862252
58.085999999,-0.0660393221942827
58.087,-0.0660400323682234
58.088,-0.066040728004561
58.088999999,-0.0660414925450915
58.09,-0.0660422471007208
58.091,-0.0660431232286355
58.091999999,-0.0660438568131151
58.093,-0.0660445150418457
58.094,-0.0660451600331787
58.094999999,-0.0660458654222647
58.095999999,-0.0660465936050046
58.097,-0.0660473688700534
58.097999999,-0.0660481805462068
58.098999999,-0.0660488901497771
58.1,-0.0660495292780995
58.100999999,-0.0660502876291779
58.101999999,-0.0660509388690225
58.103,-0.0660516323625271
58.103999999,-0.0660524547531625
58.104999999,-0.0660531290518395
58.106,-0.0660537953639782
58.106999999,-0.0660544993997873
58.107999999,-0.0660552450642294
58.109,-0.066055988066533
58.109999999,-0.0660567347719822
58.110999999,-0.0660574273765991
58.112,-0.0660580615000207
58.112999999,-0.0660586296358655
58.113999999,-0.0660594150011011
58.115,-0.0660601008485898
58.115999999,-0.066060894187923
58.116999999,-0.0660617107483644
58.118,-0.0660624024582013
58.118999999,-0.0660629999583897
58.119999999,-0.0660637976337551
58.121,-0.0660645266550804
58.122,-0.0660651955845293
58.122999999,-0.0660659920461426
58.124,-0.0660665909628054
58.125,-0.0660673217294882
58.125999999,-0.0660680756123996
58.127,-0.0660688728016725
58.128,-0.0660696421890727
58.128999999,-0.0660703403016792
58.13,-0.066071092156973
58.131,-0.0660717457859158
58.131999999,-0.0660724304602018
58.133,-0.0660731831642798
58.134,-0.0660739067911422
58.134999999,-0.0660746822902851
58.136,-0.066075309528383
58.137,-0.066076000533847
58.137999999,-0.0660766897333501
58.139,-0.0660774794664431
58.14,-0.0660782960034122
58.140999999,-0.0660791350834976
58.142,-0.0660798864972098
58.143,-0.0660806112511419
58.143999999,-0.0660812396033164
58.145,-0.0660819678760321
58.146,-0.0660827160070451
58.146999999,-0.0660833799273184
58.148,-0.0660840707435983
58.149,-0.06608483116165
58.149999999,-0.0660855080878134
58.151,-0.0660863124536829
58.152,-0.0660870147793425
58.152999999,-0.0660877886889312
58.154,-0.06608851996575
58.155,-0.0660892173027497
58.155999999,-0.0660898975795251
58.156999999,-0.066090579761695
58.158,-0.0660913562661454
58.158999999,-0.0660920899035811
58.159999999,-0.0660929505845616
58.161,-0.0660937528396065
58.161999999,-0.0660944740642178
58.162999999,-0.0660951678208411
58.164,-0.066095925767659
58.164999999,-0.0660966387007864
58.165999999,-0.0660974472725533
58.167,-0.066098217024948
58.167999999,-0.0660989226105563
58.168999999,-0.0660995863792133
58.17,-0.0661003920845556
58.170999999,-0.0661011949033771
58.171999999,-0.0661019722829789
58.173,-0.0661027812160082
58.173999999,-0.0661035315603188
58.174999999,-0.0661041786731152
58.176,-0.0661049524158933
58.176999999,-0.0661056771860463
58.177999999,-0.0661063944266447
58.179,-0.0661072507073346
58.179999999,-0.0661079300845561
58.180999999,-0.0661086717644067
58.182,-0.0661093808101633
58.183,-0.066110142747973
58.183999999,-0.0661108074654851
58.185,-0.0661116028268773
58.186,-0.0661123008817169
58.186999999,-0.0661129130917432
58.188,-0.0661135316281273
58.189,-0.0661143497902426
58.189999999,-0.0661150249080528
58.191,-0.0661158127460564
58.192,-0.0661166700538997
58.192999999,-0.0661173690983251
58.194,-0.0661180053583866
58.195,-0.0661187640567667
58.195999999,-0.0661194372052173
58.197,-0.0661201580566327
58.198,-0.0661208914646242
58.198999999,-0.0661215656823431
58.2,-0.0661221937642251
58.201,-0.0661229986920561
58.201999999,-0.0661237831756854
58.203,-0.0661245028851403
58.204,-0.0661252121941865
58.204999999,-0.0661258194631189
58.206,-0.0661264212182525
58.207,-0.0661270683645637
58.207999999,-0.0661277621204125
